id;av_media_temp;av_media_hum_rel;av_media_vento;av_media_preci;x;y
1;27.295;65.8907142857143;0;0;-27289;101401.1
2;11.6481801470588;51.3565625;1.3;0;-27291.1;101405.6
3;18.6225698434568;77.7054633755472;0.59375;0.13125;-25016;97391
4;29.0533333333333;45.2666666666667;0.5;0.3;-23827.88;109349.52
5;18.7061462490761;71.337583203382;0.36;0.08;-29598;114658
6;19.2063470066519;71.4802728470717;0;0.129090909090909;-20300;113908
7;18.7743204915004;74.0550266349505;1.13818181818182;0;-30947;94713
